código,NOME,ESCALAS:
197,TMA 4X1 4X2 3X2 3X2 07:30 AS 17:00:10 C,TMA 4X1 4X2 3X2 3X2 07:30 AS 17:00:10 C
198,TMA 4X1 4X2 3X2 3X2 11:30 AS 21:00:10 A,TMA 4X1 4X2 3X2 3X2 11:30 AS 21:00:10 A
199,TMA 4X1 4X2 3X2 3X2 11:30 AS 21:00:10 B,TMA 4X1 4X2 3X2 3X2 11:30 AS 21:00:10 B
200,TMA 4X1 4X2 3X2 3X2 11:30 AS 21:00:10 C,TMA 4X1 4X2 3X2 3X2 11:30 AS 21:00:10 C
201,TMA 4X1 4X2 3X2 3X2 13:20 AS 23:00 A,TMA 4X1 4X2 3X2 3X2 13:20 AS 23:00 A
202,TMA 4X1 4X2 3X2 3X2 13:20 AS 23:00 B,TMA 4X1 4X2 3X2 3X2 13:20 AS 23:00 B
203,TMA 4X1 4X2 3X2 3X2 13:20 AS 23:00 C,TMA 4X1 4X2 3X2 3X2 13:20 AS 23:00 C
204,TMA 4X1 4X2 3X2 3X2 19:30 AS 05:00:10 A,TMA 4X1 4X2 3X2 3X2 19:30 AS 05:00:10 A
205,TMA 4X1 4X2 3X2 3X2 19:30 AS 05:00:10 B,TMA 4X1 4X2 3X2 3X2 19:30 AS 05:00:10 B
206,TMA 4X1 4X2 3X2 3X2 19:30 AS 05:00:10 C,TMA 4X1 4X2 3X2 3X2 19:30 AS 05:00:10 C
207,TMA 4X1 4X2 3X2 3X2 21:30 AS 07:00:10 A,TMA 4X1 4X2 3X2 3X2 21:30 AS 07:00:10 A
208,TMA 4X1 4X2 3X2 3X2 21:30 AS 07:00:10 B,TMA 4X1 4X2 3X2 3X2 21:30 AS 07:00:10 B
